a;collisions;n;m
0,000;0,000000;0;100000
0,050;380,816986;5000;100000
0,100;1440,666992;10000;100000
0,150;3085,759033;15000;100000
0,200;5231,438965;20000;100000
0,250;7790,409180;25000;100000
0,300;10716,537109;30000;100000
0,350;13946,936523;35000;100000
0,400;17437,656250;40000;100000
0,450;21155,097656;45000;100000
0,500;25057,933594;50000;100000
0,550;29124,294922;55000;100000
0,600;33332,074219;60000;100000
0,650;37653,863281;65000;100000
0,700;42075,273438;70000;100000
0,750;46583,628906;75000;100000
0,800;51163,097656;80000;100000
0,850;55806,984375;85000;100000
0,900;60503,488281;90000;100000
0,950;65242,281250;95000;100000
1,000;70022,718750;100000;100000
1,050;74832,109375;105000;100000
1,100;79671,554688;110000;100000
1,150;84534,296875;115000;100000
1,200;89416,585938;119999;100000
1,250;94318,031250;124999;100000
1,300;99233,351563;129999;100000
1,350;104160,226563;134999;100000
1,400;109098,304688;139999;100000
1,450;114046,156250;144999;100000
1,500;118999,953125;149999;100000
1,550;123962,437500;154999;100000
1,600;128930,148438;159999;100000
1,650;133901,703125;164999;100000
1,700;138878,375000;169999;100000
1,750;143857,546875;174999;100000
1,800;148840,203125;179999;100000
1,850;153824,562500;184999;100000
1,900;158811,921875;189999;100000
1,950;163800,437500;194999;100000
2,000;168791,515625;199999;100000
2,050;173783,359375;204999;100000
2,100;178776,437500;209999;100000
2,150;183770,265625;214999;100000
2,200;188765,171875;219999;100000
2,250;193760,890625;224999;100000
2,300;198756,437500;229999;100000
2,350;203753,046875;234999;100000
2,400;208750,078125;239999;100000
2,450;213747,656250;244999;100000
2,500;218744,687500;249999;100000
2,550;223742,656250;254999;100000
2,600;228740,984375;259999;100000
2,650;233739,281250;264999;100000
2,700;238737,453125;269999;100000
2,750;243736,171875;274999;100000
2,800;248734,718750;279999;100000
2,850;253733,531250;284999;100000
2,900;258732,343750;289999;100000
2,950;263731,000000;294999;100000
3,000;268730,062500;299999;100000
3,050;273729,281250;304999;100000
3,100;278728,281250;309999;100000
3,150;283727,187500;314999;100000
3,200;288726,093750;319999;100000
3,250;293725,281250;324999;100000
3,300;298724,562500;329999;100000
3,350;303723,593750;334999;100000
3,400;308723,031250;339999;100000
3,450;313721,875000;344999;100000
3,500;318720,906250;349999;100000
