Algorithm;Sample Size;Number Elements;avg Comparisons;avg Moves
quicksort middle pivot inverse;1000000;1000;8103.0;4640.0
quicksort middle pivot inverse;10000;10000;114435.99;63862.004
quicksort middle pivot inverse;10000;20000;248868.0;137735.0
quicksort middle pivot inverse;1000;30000;390896.0;213643.02
quicksort middle pivot inverse;1000;40000;537829.0;295536.0
quicksort middle pivot inverse;1000;50000;689457.0;380267.0
quicksort middle pivot inverse;1000;60000;841693.0;457179.0
quicksort middle pivot inverse;1000;70000;998143.0;542971.0
quicksort middle pivot inverse;1000;80000;1156018.0;631299.0
quicksort middle pivot inverse;1000;90000;1313084.0;717537.0
quicksort middle pivot inverse;1000;100000;1478851.0;810565.0
quicksort middle pivot inverse;500;200000;3157518.0;1721148.0
quicksort middle pivot inverse;250;300000;4910429.0;2647498.0
quicksort middle pivot inverse;150;400000;6714986.0;3642534.0
quicksort middle pivot inverse;150;500000;8540881.0;4576530.0
quicksort middle pivot inverse;75;600000;1.041996E7;5594245.0
quicksort middle pivot inverse;75;700000;1.2283531E7;6598730.0
quicksort middle pivot inverse;50;800000;1.4229242E7;7684660.0
quicksort middle pivot inverse;50;900000;1.6123311E7;8604315.0
quicksort middle pivot inverse;50;1000000;1.808126E7;9652721.0
quicksort middle pivot inverse;25;2000000;3.816212E7;2.030595E7
quicksort middle pivot inverse;10;3000000;5.896798E7;3.1575516E7
quicksort middle pivot inverse;10;4000000;8.0321672E7;4.2609844E7
quicksort middle pivot inverse;10;5000000;1.02063376E8;5.4248424E7
quicksort middle pivot inverse;10;6000000;1.2393304E8;6.6149932E7
quicksort middle pivot inverse;10;7000000;1.46195408E8;7.7413648E7
quicksort middle pivot inverse;10;8000000;1.68637776E8;8.921492E7
quicksort middle pivot inverse;10;9000000;1.91320224E8;1.0125448E8
quicksort middle pivot inverse;10;10000000;2.14126528E8;1.13496528E8
quicksort middle pivot inverse;5;20000000;4.48245568E8;2.36985472E8
quicksort middle pivot inverse;5;30000000;6.8971232E8;3.63090976E8
quicksort middle pivot inverse;5;40000000;9.3647808E8;4.93957536E8
quicksort middle pivot inverse;5;50000000;1.18612928E9;6.3051456E8
