Algorithm;Sample Size;Number Elements;avg Comparisons;avg Moves
quicksort middle pivot presorted;1000000;1000;7987.0;4449.0
quicksort middle pivot presorted;10000;10000;113631.0;60517.0
quicksort middle pivot presorted;10000;20000;247248.0;131029.01
quicksort middle pivot presorted;1000;30000;387248.0;205894.0
quicksort middle pivot presorted;1000;40000;534481.0;282053.0
quicksort middle pivot presorted;1000;50000;684481.0;365285.0
quicksort middle pivot presorted;1000;60000;834481.0;441782.03
quicksort middle pivot presorted;1000;70000;988946.0;522438.03
quicksort middle pivot presorted;1000;80000;1148946.0;604101.0
quicksort middle pivot presorted;1000;90000;1308946.0;690921.0
quicksort middle pivot presorted;1000;100000;1468946.0;780565.0
quicksort middle pivot presorted;500;200000;3137875.0;1661125.0
quicksort middle pivot presorted;250;300000;4875732.0;2547384.0
quicksort middle pivot presorted;150;400000;6675732.0;3522245.0
quicksort middle pivot presorted;150;500000;8475732.0;4454646.0
quicksort middle pivot presorted;75;600000;1.0351445E7;5394760.0
quicksort middle pivot presorted;75;700000;1.2251445E7;6388953.0
quicksort middle pivot presorted;50;800000;1.4151444E7;7444485.0
quicksort middle pivot presorted;50;900000;1.6051444E7;8391482.0
quicksort middle pivot presorted;50;1000000;1.7951444E7;9409286.0
quicksort middle pivot presorted;25;2000000;3.7902872E7;1.9818566E7
quicksort middle pivot presorted;10;3000000;5.880572E7;3.0673866E7
quicksort middle pivot presorted;10;4000000;7.980572E7;4.1637128E7
quicksort middle pivot presorted;10;5000000;1.01611416E8;5.2620168E7
quicksort middle pivot presorted;10;6000000;1.23611416E8;6.4347724E7
quicksort middle pivot presorted;10;7000000;1.45611424E8;7.5607184E7
quicksort middle pivot presorted;10;8000000;1.67611424E8;8.7274248E7
quicksort middle pivot presorted;10;9000000;1.90222816E8;9.8650696E7
quicksort middle pivot presorted;10;10000000;2.13222816E8;1.10240336E8
quicksort middle pivot presorted;5;20000000;4.46445632E8;2.3048064E8
quicksort middle pivot presorted;5;30000000;6.8644563E8;3.55460544E8
quicksort middle pivot presorted;5;40000000;9.3289114E8;4.8096128E8
quicksort middle pivot presorted;5;50000000;1.18289126E9;6.1544634E8
