Algorithm;Sample Size;Number Elements;avg Time (ms);avg Time (ns)
quicksort middle pivot inverse sorted;1000000;1000;6.1E-4;37968.78
quicksort middle pivot inverse sorted;10000;10000;0.0045;525330.7
quicksort middle pivot inverse sorted;10000;20000;1.0062;1156896.2
quicksort middle pivot inverse sorted;1000;30000;1.021;1824571.6
quicksort middle pivot inverse sorted;1000;40000;2.03;2520133.8
quicksort middle pivot inverse sorted;1000;50000;3.02;3237241.0
quicksort middle pivot inverse sorted;1000;60000;3.057;3935922.0
quicksort middle pivot inverse sorted;1000;70000;4.062;4704951.5
quicksort middle pivot inverse sorted;1000;80000;5.07;5488734.5
quicksort middle pivot inverse sorted;1000;90000;6.065;6234343.0
quicksort middle pivot inverse sorted;1000;100000;6.22;7084580.0
quicksort middle pivot inverse sorted;500;200000;14.44;1.5133074E7
quicksort middle pivot inverse sorted;250;300000;72.492;7.292756E7
quicksort middle pivot inverse sorted;150;400000;97.346664;9.7688864E7
quicksort middle pivot inverse sorted;150;500000;128.44;1.28880176E8
quicksort middle pivot inverse sorted;75;600000;155.69333;1.56166432E8
quicksort middle pivot inverse sorted;75;700000;194.73334;1.95218336E8
quicksort middle pivot inverse sorted;50;800000;224.08;2.24696896E8
quicksort middle pivot inverse sorted;50;900000;241.74;2.422732E8
quicksort middle pivot inverse sorted;50;1000000;272.08;2.72681344E8
quicksort middle pivot inverse sorted;25;2000000;537.48;5.3798701E8
quicksort middle pivot inverse sorted;10;3000000;783.7;7.8412378E8
quicksort middle pivot inverse sorted;10;4000000;1169.4;1.16985498E9
quicksort middle pivot inverse sorted;10;5000000;1505.4;1.50593523E9
quicksort middle pivot inverse sorted;10;6000000;1892.9;1.89337805E9
quicksort middle pivot inverse sorted;10;7000000;2265.2;2.26557491E9
quicksort middle pivot inverse sorted;10;8000000;2536.9;2.53740493E9
quicksort middle pivot inverse sorted;10;9000000;3001.0;3.00146355E9
quicksort middle pivot inverse sorted;10;10000000;3343.6;3.34411674E9
quicksort middle pivot inverse sorted;5;20000000;7412.6;7.4130949E9
quicksort middle pivot inverse sorted;5;30000000;11280.8;1.12812954E10
quicksort middle pivot inverse sorted;5;40000000;15310.4;1.53108429E10
quicksort middle pivot inverse sorted;5;50000000;20490.8;2.04915507E10
