Algorithm;Sample Size;Number Elements;avg Time (ms);avg Time (ns)
quicksort middle pivot presorted;1000000;1000;8.41E-4;35985.95
quicksort middle pivot presorted;10000;10000;0.0045;481447.06
quicksort middle pivot presorted;10000;20000;1.0061;1068548.9
quicksort middle pivot presorted;1000;30000;1.018;1706070.5
quicksort middle pivot presorted;1000;40000;2.019;2365289.5
quicksort middle pivot presorted;1000;50000;2.944;3079845.5
quicksort middle pivot presorted;1000;60000;3.046;3693811.2
quicksort middle pivot presorted;1000;70000;4.049;4394101.0
quicksort middle pivot presorted;1000;80000;5.048;5148264.0
quicksort middle pivot presorted;1000;90000;5.151;5957348.0
quicksort middle pivot presorted;1000;100000;6.116;6785477.5
quicksort middle pivot presorted;500;200000;14.326;1.4499557E7
quicksort middle pivot presorted;250;300000;69.876;7.0194584E7
quicksort middle pivot presorted;150;400000;98.57333;9.9251424E7
quicksort middle pivot presorted;150;500000;125.753334;1.26286672E8
quicksort middle pivot presorted;75;600000;153.54666;1.53941664E8
quicksort middle pivot presorted;75;700000;184.53334;1.85039616E8
quicksort middle pivot presorted;50;800000;203.94;2.04562448E8
quicksort middle pivot presorted;50;900000;225.96;2.26520704E8
quicksort middle pivot presorted;50;1000000;285.92;2.86354656E8
quicksort middle pivot presorted;25;2000000;526.84;5.274184E8
quicksort middle pivot presorted;10;3000000;825.6;8.2610592E8
quicksort middle pivot presorted;10;4000000;1181.1;1.18168678E9
quicksort middle pivot presorted;10;5000000;1453.0;1.45344128E9
quicksort middle pivot presorted;10;6000000;1829.9;1.83031437E9
quicksort middle pivot presorted;10;7000000;2166.1;2.16657126E9
quicksort middle pivot presorted;10;8000000;2495.6;2.49605274E9
quicksort middle pivot presorted;10;9000000;2848.3;2.84889062E9
quicksort middle pivot presorted;10;10000000;3224.0;3.2243904E9
quicksort middle pivot presorted;5;20000000;6796.4;6.7969311E9
quicksort middle pivot presorted;5;30000000;10701.0;1.07015465E10
quicksort middle pivot presorted;5;40000000;14215.2;1.42158039E10
quicksort middle pivot presorted;5;50000000;19196.6;1.91970591E10
