Algorithm;Number Elements;avg Time (ms);avg Time (ns)
quicksort middle pivot;1000;0.11;330962.06
quicksort middle pivot;2000;0.014;427378.06
quicksort middle pivot;3000;0.028;498882.84
quicksort middle pivot;4000;0.106;711245.06
quicksort middle pivot;5000;0.016;653515.5
quicksort middle pivot;6000;0.044;808492.2
quicksort middle pivot;7000;0.236;981288.5
quicksort middle pivot;8000;0.904;1103124.6
quicksort middle pivot;9000;1.014;1286574.9
quicksort middle pivot;10000;1.008;1406479.9
quicksort middle pivot;11000;1.028;1581034.8
quicksort middle pivot;12000;1.026;1736379.1
quicksort middle pivot;13000;1.152;1914001.8
quicksort middle pivot;14000;1.79;2118822.8
quicksort middle pivot;15000;2.024;2275864.5
quicksort middle pivot;16000;2.036;2468558.5
quicksort middle pivot;17000;2.036;2614513.0
quicksort middle pivot;18000;2.094;2804663.8
quicksort middle pivot;19000;2.312;2981336.5
quicksort middle pivot;20000;2.862;3192724.8
quicksort middle pivot;21000;3.098;3434230.2
quicksort middle pivot;22000;3.056;3498913.0
quicksort middle pivot;23000;3.072;3665792.5
quicksort middle pivot;24000;3.178;3856094.5
quicksort middle pivot;25000;3.58;4075613.5
quicksort middle pivot;26000;3.934;4250928.5
quicksort middle pivot;27000;4.054;4425308.0
quicksort middle pivot;28000;4.092;4590329.0
quicksort middle pivot;29000;4.162;4759984.0
quicksort middle pivot;30000;4.386;5033339.0
quicksort middle pivot;31000;4.764;5185808.0
quicksort middle pivot;32000;5.018;5408794.0
quicksort middle pivot;33000;5.088;5545831.0
quicksort middle pivot;34000;5.158;5741686.0
quicksort middle pivot;35000;5.236;5864054.0
quicksort middle pivot;36000;5.56;6102568.5
quicksort middle pivot;37000;5.836;6270745.0
quicksort middle pivot;38000;6.026;6445712.0
quicksort middle pivot;39000;6.138;6645666.0
quicksort middle pivot;40000;6.364;6940184.5
quicksort middle pivot;41000;6.462;7023534.0
quicksort middle pivot;42000;6.824;7275970.5
quicksort middle pivot;43000;6.962;7386426.5
quicksort middle pivot;44000;7.43;7905879.0
quicksort middle pivot;45000;7.32;7870979.5
quicksort middle pivot;46000;7.68;8215714.5
quicksort middle pivot;47000;8.408;8911311.0
quicksort middle pivot;48000;7.878;8323371.5
quicksort middle pivot;49000;8.99;9474082.0
quicksort middle pivot;50000;9.444;9951758.0
quicksort middle pivot;51000;9.428;9934462.0
quicksort middle pivot;52000;8.69;9179758.0
quicksort middle pivot;53000;8.846;9320649.0
quicksort middle pivot;54000;9.956;1.0463604E7
quicksort middle pivot;55000;9.206;9706880.0
quicksort middle pivot;56000;9.592;1.0096079E7
quicksort middle pivot;57000;9.784;1.0280089E7
quicksort middle pivot;58000;9.866;1.035954E7
quicksort middle pivot;59000;9.992;1.0482514E7
quicksort middle pivot;60000;10.186;1.0694201E7
quicksort middle pivot;61000;10.336;1.0850267E7
quicksort middle pivot;62000;10.688;1.1195607E7
quicksort middle pivot;63000;10.826;1.1296185E7
quicksort middle pivot;64000;10.934;1.144554E7
quicksort middle pivot;65000;11.094;1.1603486E7
quicksort middle pivot;66000;11.354;1.1839819E7
quicksort middle pivot;67000;11.61;1.2121155E7
quicksort middle pivot;68000;11.698;1.2192935E7
quicksort middle pivot;69000;11.896;1.2422459E7
quicksort middle pivot;70000;12.68;1.3198115E7
quicksort middle pivot;71000;12.324;1.281541E7
quicksort middle pivot;72000;12.48;1.295839E7
quicksort middle pivot;73000;12.636;1.3142309E7
quicksort middle pivot;74000;12.884;1.3402998E7
quicksort middle pivot;75000;13.016;1.354149E7
quicksort middle pivot;76000;13.964;1.4480907E7
quicksort middle pivot;77000;13.598;1.4092515E7
quicksort middle pivot;78000;13.632;1.4094148E7
quicksort middle pivot;79000;13.878;1.4352012E7
quicksort middle pivot;80000;14.088;1.462175E7
quicksort middle pivot;81000;14.212;1.4739387E7
quicksort middle pivot;82000;14.588;1.5083967E7
quicksort middle pivot;83000;14.65;1.5123905E7
quicksort middle pivot;84000;14.876;1.5376673E7
quicksort middle pivot;85000;15.052;1.5566175E7
quicksort middle pivot;86000;15.084;1.5637793E7
quicksort middle pivot;87000;15.408;1.5894168E7
quicksort middle pivot;88000;15.716;1.6207327E7
quicksort middle pivot;89000;15.842;1.6330917E7
quicksort middle pivot;90000;17.49;1.7977656E7
quicksort middle pivot;91000;16.42;1.6939124E7
quicksort middle pivot;92000;18.214;1.8686414E7
quicksort middle pivot;93000;17.182;1.768314E7
quicksort middle pivot;94000;16.816;1.7281028E7
quicksort middle pivot;95000;17.794;1.8291096E7
quicksort middle pivot;96000;17.964;1.8489094E7
quicksort middle pivot;97000;17.95;1.8441062E7
quicksort middle pivot;98000;18.116;1.8596798E7
quicksort middle pivot;99000;17.512;1.7990456E7
quicksort middle pivot;100000;17.732;1.8226454E7
quicksort middle pivot;101000;17.904;1.843655E7
quicksort middle pivot;102000;18.218;1.8734126E7
quicksort middle pivot;103000;18.216;1.871549E7
quicksort middle pivot;104000;18.44;1.8897452E7
quicksort middle pivot;105000;18.688;1.9168926E7
quicksort middle pivot;106000;18.862;1.9372574E7
quicksort middle pivot;107000;18.986;1.951308E7
quicksort middle pivot;108000;19.256;1.9738612E7
quicksort middle pivot;109000;19.432;1.9914416E7
quicksort middle pivot;110000;19.676;2.015542E7
quicksort middle pivot;111000;19.832;2.0330062E7
quicksort middle pivot;112000;20.136;2.063074E7
quicksort middle pivot;113000;20.182;2.070324E7
quicksort middle pivot;114000;20.564;2.1033384E7
quicksort middle pivot;115000;20.856;2.1350512E7
quicksort middle pivot;116000;20.824;2.1320848E7
quicksort middle pivot;117000;21.004;2.1540618E7
quicksort middle pivot;118000;21.572;2.2042376E7
quicksort middle pivot;119000;21.672;2.2141126E7
quicksort middle pivot;120000;21.908;2.242973E7
quicksort middle pivot;121000;21.87;2.237708E7
quicksort middle pivot;122000;22.098;2.2621286E7
quicksort middle pivot;123000;22.356;2.2859334E7
quicksort middle pivot;124000;22.736;2.3228314E7
quicksort middle pivot;125000;22.876;2.335852E7
quicksort middle pivot;126000;23.096;2.3612684E7
quicksort middle pivot;127000;23.014;2.3531138E7
quicksort middle pivot;128000;23.36;2.3874488E7
quicksort middle pivot;129000;23.536;2.4034886E7
quicksort middle pivot;130000;24.02;2.4512326E7
quicksort middle pivot;131000;26.95;2.742579E7
quicksort middle pivot;132000;27.424;2.7927652E7
quicksort middle pivot;133000;29.266;2.9786992E7
quicksort middle pivot;134000;29.904;3.0411696E7
