Algorithm;Sample Size;Number Elements;avg Time (ms);avg Time (ns)
MSGS9hndoFquicksort middle pivot;1000000;1000;9.66E-4;100566.84
quicksort middle pivot;10000;10000;1.0088;1378839.5
quicksort middle pivot;10000;20000;2.6886;3068956.2
quicksort middle pivot;1000;30000;4.13;4842737.5
quicksort middle pivot;1000;40000;6.101;6656499.5
quicksort middle pivot;1000;50000;7.999;8483723.0
quicksort middle pivot;1000;60000;9.857;1.0351143E7
quicksort middle pivot;1000;70000;11.757;1.2251418E7
quicksort middle pivot;1000;80000;13.668;1.4146457E7
quicksort middle pivot;1000;90000;15.615;1.6073832E7
quicksort middle pivot;1000;100000;17.541;1.7985542E7
quicksort middle pivot;500;200000;38.3;3.8793596E7
quicksort middle pivot;250;300000;124.976;1.2546168E8
quicksort middle pivot;150;400000;171.46666;1.71943984E8
quicksort middle pivot;150;500000;217.01334;2.17510256E8
quicksort middle pivot;75;600000;265.52;2.65964304E8
quicksort middle pivot;75;700000;304.18668;3.04718304E8
quicksort middle pivot;50;800000;356.12;3.5660608E8
quicksort middle pivot;50;900000;408.04;4.08554688E8
quicksort middle pivot;50;1000000;459.58;4.6012784E8
quicksort middle pivot;25;2000000;972.48;9.7294298E8
quicksort middle pivot;10;3000000;1532.5;1.53305946E9
quicksort middle pivot;10;4000000;2068.7;2.06911629E9
quicksort middle pivot;10;5000000;2742.7;2.74316416E9
quicksort middle pivot;10;6000000;3242.9;3.2434391E9
quicksort middle pivot;10;7000000;3873.1;3.87347456E9
quicksort middle pivot;10;8000000;4634.7;4.6351022E9
quicksort middle pivot;10;9000000;5172.2;5.1728128E9
quicksort middle pivot;10;10000000;5806.6;5.806997E9
quicksort middle pivot;5;20000000;12420.0;1.24206162E10
quicksort middle pivot;5;30000000;19364.0;1.93644339E10
quicksort middle pivot;5;40000000;26605.6;2.66060943E10
quicksort middle pivot;5;50000000;35033.6;3.503396E10
